测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT10001-b,主操作台急停,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,主操作台急停,,,,
FZXT10001-b,主操作台急停,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,主操作台急停,1,S,FZXT10001_B,
FZXT10002-b,变频柜急停,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,变频柜急停,,,,
FZXT10002-b,变频柜急停,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,变频柜急停,1,S,FZXT10002_B,
FZXT10003-b,FT005流量超限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,FT005流量超限停机,,,,
FZXT10003-b,FT005流量超限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FT005流量超限停机,1,S,FZXT10003_B,
FZXT10004-b,主控制柜急停,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,主控制柜急停,,,,
FZXT10004-b,主控制柜急停,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,主控制柜急停,1,S,FZXT10004_B,
FZXT10005-b,低压泵返回故障,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,低压泵返回故障,,,,
FZXT10005-b,低压泵返回故障,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵返回故障,1,S,FZXT10005_B,
FZXT10006-b,被试泵运行返回故障,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵运行返回故障,,,,
FZXT10006-b,被试泵运行返回故障,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵运行返回故障,1,S,FZXT10006_B,
FZXT10007-b,辅助低压泵后压力上限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,辅助低压泵后压力上限停机,,,,
FZXT10007-b,辅助低压泵后压力上限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,辅助低压泵后压力上限停机,1,S,FZXT10007_B,
FZXT10008-b,被试泵入口压力下限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵入口压力下限停机,,,,
FZXT10008-b,被试泵入口压力下限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力下限停机,1,S,FZXT10008_B,
FZXT10009-b,被试泵出口压力上限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵出口压力上限停机,,,,
FZXT10009-b,被试泵出口压力上限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵出口压力上限停机,1,S,FZXT10009_B,
FZXT10010-b,冷却水压力下限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,冷却水压力下限停机,,,,
FZXT10010-b,冷却水压力下限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水压力下限停机,1,S,FZXT10010_B,
FZXT10011-b,被试泵转速超限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵转速超限停机,,,,
FZXT10011-b,被试泵转速超限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵转速超限停机,1,S,FZXT10011_B,
FZXT10012-b,被试泵入口温度上限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵入口温度上限停机,,,,
FZXT10012-b,被试泵入口温度上限停机,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度上限停机,1,S,FZXT10012_B,
FZXT10013-b,油门杆动作,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,油门杆动作,,,,
FZXT10013-b,油门杆动作,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门杆动作,1,S,FZXT10013_B,
FZXT10014-b,油门杆供电正常,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,油门杆供电正常,,,,
FZXT10014-b,油门杆供电正常,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门杆供电正常,1,S,FZXT10014_B,
FZXT10015-b,反馈板电源正常,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,反馈板电源正常,,,,
FZXT10015-b,反馈板电源正常,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,反馈板电源正常,1,S,FZXT10015_B,
FZXT10016-b,使能停止校验,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,使能停止校验,,,,
